instant,dteday,season,yr,mnth,hr,holiday,weekday,weekend,workingday,weathersit,temp,atemp,hum,windspeed,windspeed_mph,comfindex,casual,registered,cnt
77,04/01/2011,1,0,1,8,0,2,0,1,1,0.14,0.1515,0.69,0.1642,11.001,0.083,2,177,179
78,04/01/2011,1,0,1,9,0,2,0,1,1,0.16,0.1515,0.64,0.2239,15.001,0.081,2,98,100
79,04/01/2011,1,0,1,10,0,2,0,1,2,0.16,0.1364,0.69,0.3284,22.003,0.055,5,37,42
80,04/01/2011,1,0,1,11,0,2,0,1,1,0.22,0.2121,0.51,0.2985,19.999,0.114,7,50,57
81,04/01/2011,1,0,1,12,0,2,0,1,1,0.22,0.2273,0.51,0.1642,11.001,0.145,12,66,78
82,04/01/2011,1,0,1,13,0,2,0,1,1,0.24,0.2273,0.56,0.194,12.998,0.149,18,79,97
83,04/01/2011,1,0,1,14,0,2,0,1,1,0.26,0.2576,0.52,0.2239,15.001,0.163,9,54,63
84,04/01/2011,1,0,1,15,0,2,0,1,1,0.28,0.2727,0.52,0.2537,16.998,0.171,17,48,65
85,04/01/2011,1,0,1,16,0,2,0,1,1,0.3,0.2879,0.49,0.2537,16.998,0.186,15,68,83
86,04/01/2011,1,0,1,17,0,2,0,1,1,0.28,0.2727,0.48,0.2239,15.001,0.177,10,202,212
87,04/01/2011,1,0,1,18,0,2,0,1,1,0.26,0.2576,0.48,0.194,12.998,0.168,3,179,182
88,04/01/2011,1,0,1,19,0,2,0,1,1,0.24,0.2576,0.48,0.1045,7.002,0.176,2,110,112
89,04/01/2011,1,0,1,20,0,2,0,1,1,0.24,0.2576,0.48,0.1045,7.002,0.176,1,53,54
90,04/01/2011,1,0,1,21,0,2,0,1,1,0.22,0.2727,0.64,0,0,0.192,0,48,48
91,04/01/2011,1,0,1,22,0,2,0,1,1,0.22,0.2576,0.64,0.0896,6.003,0.169,1,34,35
92,04/01/2011,1,0,1,23,0,2,0,1,1,0.2,0.2273,0.69,0.0896,6.003,0.15,2,9,11
93,05/01/2011,1,0,1,0,0,3,0,1,1,0.2,0.2576,0.64,0,0,0.177,0,6,6
94,05/01/2011,1,0,1,1,0,3,0,1,1,0.16,0.197,0.74,0.0896,6.003,0.121,0,6,6
95,05/01/2011,1,0,1,2,0,3,0,1,1,0.16,0.197,0.74,0.0896,6.003,0.121,0,2,2
96,05/01/2011,1,0,1,4,0,3,0,1,1,0.24,0.2273,0.48,0.2239,15.001,0.143,0,2,2
97,05/01/2011,1,0,1,5,0,3,0,1,1,0.22,0.2273,0.47,0.1642,11.001,0.145,0,3,3
98,05/01/2011,1,0,1,6,0,3,0,1,1,0.2,0.197,0.47,0.2239,15.001,0.114,0,33,33
99,05/01/2011,1,0,1,7,0,3,0,1,1,0.18,0.1818,0.43,0.194,12.998,0.106,1,87,88
100,05/01/2011,1,0,1,8,0,3,0,1,1,0.2,0.1818,0.4,0.2985,19.999,0.095,3,192,195
101,05/01/2011,1,0,1,9,0,3,0,1,1,0.22,0.197,0.37,0.3284,22.003,0.103,6,109,115
102,05/01/2011,1,0,1,10,0,3,0,1,1,0.22,0.197,0.37,0.3284,22.003,0.103,4,53,57
103,05/01/2011,1,0,1,11,0,3,0,1,1,0.26,0.2273,0.33,0.3284,22.003,0.133,12,34,46
104,05/01/2011,1,0,1,12,0,3,0,1,1,0.26,0.2273,0.33,0.3284,22.003,0.133,5,74,79
105,05/01/2011,1,0,1,13,0,3,0,1,1,0.28,0.2576,0.3,0.2985,19.999,0.158,6,65,71
106,05/01/2011,1,0,1,14,0,3,0,1,1,0.3,0.2879,0.28,0.194,12.998,0.198,10,52,62
107,05/01/2011,1,0,1,15,0,3,0,1,1,0.3,0.2879,0.28,0.194,12.998,0.198,7,55,62
108,05/01/2011,1,0,1,16,0,3,0,1,1,0.3,0.3182,0.28,0.0896,6.003,0.228,4,85,89
109,05/01/2011,1,0,1,17,0,3,0,1,1,0.24,0.2273,0.38,0.194,12.998,0.149,4,186,190
110,05/01/2011,1,0,1,18,0,3,0,1,1,0.24,0.2424,0.38,0.1343,8.998,0.166,3,166,169
111,05/01/2011,1,0,1,19,0,3,0,1,1,0.24,0.2576,0.38,0.1045,7.002,0.176,5,127,132
112,05/01/2011,1,0,1,20,0,3,0,1,1,0.22,0.2273,0.47,0.1642,11.001,0.145,7,82,89
113,05/01/2011,1,0,1,21,0,3,0,1,1,0.2,0.197,0.51,0.194,12.998,0.12,3,40,43
114,05/01/2011,1,0,1,22,0,3,0,1,1,0.18,0.197,0.55,0.1343,8.998,0.122,1,41,42
115,05/01/2011,1,0,1,23,0,3,0,1,1,0.2,0.2576,0.47,0,0,0.177,1,18,19
116,06/01/2011,1,0,1,0,0,4,0,1,1,0.18,0.2424,0.55,0,0,0.163,0,11,11
117,06/01/2011,1,0,1,1,0,4,0,1,1,0.16,0.2273,0.64,0,0,0.148,0,4,4
118,06/01/2011,1,0,1,2,0,4,0,1,1,0.16,0.2273,0.64,0,0,0.148,0,2,2
119,06/01/2011,1,0,1,4,0,4,0,1,2,0.16,0.197,0.64,0.0896,6.003,0.121,0,1,1
120,06/01/2011,1,0,1,5,0,4,0,1,2,0.14,0.1818,0.69,0.0896,6.003,0.107,0,4,4
121,06/01/2011,1,0,1,6,0,4,0,1,2,0.14,0.1667,0.63,0.1045,7.002,0.099,0,36,36
122,06/01/2011,1,0,1,7,0,4,0,1,2,0.16,0.2273,0.59,0,0,0.148,0,95,95
123,06/01/2011,1,0,1,8,0,4,0,1,1,0.16,0.2273,0.59,0,0,0.148,3,216,219
124,06/01/2011,1,0,1,9,0,4,0,1,2,0.18,0.2424,0.51,0,0,0.163,6,116,122
125,06/01/2011,1,0,1,10,0,4,0,1,1,0.2,0.2576,0.47,0,0,0.177,3,42,45
126,06/01/2011,1,0,1,11,0,4,0,1,1,0.22,0.2576,0.44,0.0896,6.003,0.169,2,57,59
127,06/01/2011,1,0,1,12,0,4,0,1,1,0.26,0.2879,0.35,0,0,0.216,6,78,84
128,06/01/2011,1,0,1,13,0,4,0,1,1,0.26,0.2727,0.35,0.1045,7.002,0.191,12,55,67
129,06/01/2011,1,0,1,14,0,4,0,1,1,0.28,0.2727,0.36,0.1642,11.001,0.189,11,59,70
130,06/01/2011,1,0,1,15,0,4,0,1,1,0.28,0.2727,0.36,0,0,0.222,8,54,62
131,06/01/2011,1,0,1,16,0,4,0,1,1,0.26,0.2576,0.38,0.1642,11.001,0.174,12,74,86
132,06/01/2011,1,0,1,17,0,4,0,1,1,0.22,0.2273,0.51,0.1642,11.001,0.145,9,163,172
133,06/01/2011,1,0,1,18,0,4,0,1,1,0.22,0.2273,0.51,0.1343,8.998,0.151,5,158,163
134,06/01/2011,1,0,1,19,0,4,0,1,1,0.22,0.2576,0.55,0.0896,6.003,0.169,3,109,112
135,06/01/2011,1,0,1,20,0,4,0,1,1,0.2,0.2121,0.51,0.1642,11.001,0.131,3,66,69
136,06/01/2011,1,0,1,21,0,4,0,1,2,0.22,0.2121,0.55,0.2239,15.001,0.129,0,48,48
137,06/01/2011,1,0,1,22,0,4,0,1,2,0.22,0.2121,0.51,0.2836,19.001,0.117,1,51,52
138,06/01/2011,1,0,1,23,0,4,0,1,2,0.2,0.197,0.59,0.194,12.998,0.12,4,19,23
139,07/01/2011,1,0,1,0,0,5,0,1,2,0.2,0.197,0.64,0.194,12.998,0.12,4,13,17
140,07/01/2011,1,0,1,1,0,5,0,1,2,0.2,0.197,0.69,0.2239,15.001,0.114,2,5,7
141,07/01/2011,1,0,1,2,0,5,0,1,2,0.2,0.197,0.69,0.2239,15.001,0.114,0,1,1
142,07/01/2011,1,0,1,4,0,5,0,1,2,0.2,0.2121,0.69,0.1343,8.998,0.137,0,1,1
143,07/01/2011,1,0,1,5,0,5,0,1,3,0.22,0.2727,0.55,0,0,0.192,0,5,5
144,07/01/2011,1,0,1,6,0,5,0,1,2,0.2,0.2576,0.69,0,0,0.177,8,26,34
145,07/01/2011,1,0,1,7,0,5,0,1,1,0.2,0.2121,0.69,0.1343,8.998,0.137,8,76,84
146,07/01/2011,1,0,1,8,0,5,0,1,1,0.2,0.197,0.51,0.2537,16.998,0.108,20,190,210
147,07/01/2011,1,0,1,9,0,5,0,1,1,0.2,0.1818,0.47,0.2985,19.999,0.095,9,125,134
148,07/01/2011,1,0,1,10,0,5,0,1,1,0.22,0.197,0.37,0.3284,22.003,0.103,16,47,63
149,07/01/2011,1,0,1,11,0,5,0,1,2,0.2,0.197,0.4,0.2239,15.001,0.114,19,48,67
150,07/01/2011,1,0,1,12,0,5,0,1,2,0.2,0.197,0.37,0.2537,16.998,0.108,9,50,59
151,07/01/2011,1,0,1,13,0,5,0,1,2,0.2,0.1818,0.37,0.2836,19.001,0.098,9,64,73
152,07/01/2011,1,0,1,14,0,5,0,1,2,0.2,0.197,0.4,0.2537,16.998,0.108,7,43,50
153,07/01/2011,1,0,1,15,0,5,0,1,2,0.2,0.2121,0.37,0.1642,11.001,0.131,9,63,72
154,07/01/2011,1,0,1,16,0,5,0,1,2,0.2,0.2121,0.37,0.1642,11.001,0.131,5,82,87
155,07/01/2011,1,0,1,17,0,5,0,1,2,0.2,0.2576,0.37,0,0,0.177,9,178,187
156,07/01/2011,1,0,1,18,0,5,0,1,1,0.2,0.2273,0.4,0.0896,6.003,0.15,7,116,123
157,07/01/2011,1,0,1,19,0,5,0,1,1,0.16,0.197,0.55,0.0896,6.003,0.121,3,92,95
158,07/01/2011,1,0,1,20,0,5,0,1,1,0.18,0.2121,0.47,-1,7.002,0.133,1,50,51
159,07/01/2011,1,0,1,21,0,5,0,1,1,0.18,0.197,0.47,0.1343,8.998,0.122,0,39,39
160,07/01/2011,1,0,1,22,0,5,0,1,2,0.18,0.197,0.43,0.1642,11.001,0.116,2,34,36
161,07/01/2011,1,0,1,23,0,5,0,1,2,0.18,0.197,0.51,0.1642,11.001,0.116,1,14,15
162,08/01/2011,1,0,1,0,0,6,1,0,2,0.18,0.197,0.51,0.1642,11.001,0.116,1,24,25
163,08/01/2011,1,0,1,1,0,6,1,0,2,0.18,0.2121,0.55,0.0896,6.003,0.136,1,15,16
164,08/01/2011,1,0,1,2,0,6,1,0,2,0.18,0.2424,0.55,0,0,0.163,3,13,16
165,08/01/2011,1,0,1,3,0,6,1,0,3,0.18,0.197,0.55,0.1642,11.001,0.116,0,7,7
166,08/01/2011,1,0,1,4,0,6,1,0,3,0.18,0.197,0.55,0.1642,11.001,0.116,0,1,1
167,08/01/2011,1,0,1,5,0,6,1,0,2,0.16,0.1667,0.74,0.1642,11.001,0.097,0,5,5
168,08/01/2011,1,0,1,6,0,6,1,0,2,0.16,0.1667,0.74,0.1642,11.001,0.097,0,2,2
169,08/01/2011,1,0,1,7,0,6,1,0,2,0.16,0.1818,0.74,0.1045,7.002,0.114,1,8,9
170,08/01/2011,1,0,1,8,0,6,1,0,3,0.16,0.1818,0.93,0.1045,7.002,0.114,0,15,15
171,08/01/2011,1,0,1,9,0,6,1,0,3,0.16,0.1818,0.93,0.1045,7.002,0.114,0,20,20
172,08/01/2011,1,0,1,10,0,6,1,0,2,0.18,0.197,0.8,0.1642,11.001,0.116,5,56,61
173,08/01/2011,1,0,1,11,0,6,1,0,2,0.2,0.1818,0.69,0.3881,26.003,0.077,2,60,62
174,08/01/2011,1,0,1,12,0,6,1,0,2,0.2,0.1818,0.59,0.3582,23.999,0.083,8,90,98
175,08/01/2011,1,0,1,13,0,6,1,0,1,0.2,0.1818,0.44,0.3284,22.003,0.089,7,95,102
176,08/01/2011,1,0,1,14,0,6,1,0,1,0.2,0.1667,0.32,0.4925,32.998,0.052,12,83,95
177,08/01/2011,1,0,1,15,0,6,1,0,1,0.2,0.1667,0.32,0.4478,30.003,0.06,5,69,74
178,08/01/2011,1,0,1,16,0,6,1,0,1,0.18,0.1364,0.29,0.4478,30.003,0.041,8,68,76
179,08/01/2011,1,0,1,17,0,6,1,0,1,0.16,0.1212,0.37,0.5522,36.997,0.006,5,64,69
180,08/01/2011,1,0,1,18,0,6,1,0,1,0.14,0.1212,0.39,0.2985,19.999,0.047,3,52,55
181,08/01/2011,1,0,1,19,0,6,1,0,1,0.14,0.1212,0.36,0.2537,16.998,0.056,4,26,30
182,08/01/2011,1,0,1,20,0,6,1,0,1,0.12,0.1212,0.36,0.2537,16.998,0.046,0,28,28
183,08/01/2011,1,0,1,21,0,6,1,0,1,0.12,0.1061,0.39,0.3582,23.999,0.02,2,35,37
184,08/01/2011,1,0,1,22,0,6,1,0,1,0.12,0.1061,0.36,0.3881,26.003,0.014,1,33,34
185,08/01/2011,1,0,1,23,0,6,1,0,1,0.1,0.0606,0.39,0.4478,30.003,-0.021,0,22,22
186,09/01/2011,1,0,1,0,0,0,1,0,1,0.1,0.0758,0.42,0.3881,26.003,-0.005,1,24,25
187,09/01/2011,1,0,1,1,0,0,1,0,1,0.1,0.0606,0.42,0.4627,31.001,-0.024,0,12,12
188,09/01/2011,1,0,1,2,0,0,1,0,1,0.1,0.0606,0.46,0.4627,31.001,-0.024,0,11,11
189,09/01/2011,1,0,1,3,0,0,1,0,1,0.1,0.0758,0.46,0.4179,27.999,-0.011,0,4,4
190,09/01/2011,1,0,1,4,0,0,1,0,1,0.08,0.0909,0.53,0.194,12.998,0.028,0,1,1
191,09/01/2011,1,0,1,5,0,0,1,0,1,0.08,0.0909,0.53,0.194,12.998,0.028,0,1,1
192,09/01/2011,1,0,1,6,0,0,1,0,1,0.1,0.0909,0.49,0.2836,19.001,0.021,0,1,1
193,09/01/2011,1,0,1,7,0,0,1,0,1,0.08,0.0909,0.53,0.194,12.998,0.028,1,5,6
194,09/01/2011,1,0,1,8,0,0,1,0,1,0.1,0.0909,0.49,0.2836,19.001,0.021,0,10,10
195,09/01/2011,1,0,1,9,0,0,1,0,1,0.12,0.0758,0.46,0.5224,35.001,-0.022,0,19,19
196,09/01/2011,1,0,1,10,0,0,1,0,1,0.14,0.1061,0.43,0.3881,26.003,0.024,0,49,49
197,09/01/2011,1,0,1,11,0,0,1,0,1,0.16,0.1212,0.4,0.5224,35.001,0.012,2,47,49
198,09/01/2011,1,0,1,12,0,0,1,0,1,0.18,0.1364,0.37,0.4478,30.003,0.041,4,79,83
199,09/01/2011,1,0,1,13,0,0,1,0,1,0.2,0.1667,0.34,0.4478,30.003,0.06,6,69,75
200,09/01/2011,1,0,1,14,0,0,1,0,1,0.22,0.1818,0.32,0.4627,31.001,0.072,8,64,72
201,09/01/2011,1,0,1,15,0,0,1,0,1,0.22,0.197,0.35,0.3582,23.999,0.097,5,77,82
202,09/01/2011,1,0,1,16,0,0,1,0,1,0.2,0.1667,0.34,0.4478,30.003,0.06,13,79,92
203,09/01/2011,1,0,1,17,0,0,1,0,1,0.18,0.1515,0.37,0.3881,26.003,0.058,3,59,62
204,09/01/2011,1,0,1,18,0,0,1,0,1,0.16,0.1364,0.4,0.3284,22.003,0.055,4,44,48
205,09/01/2011,1,0,1,19,0,0,1,0,1,0.16,0.1364,0.43,0.3284,22.003,0.055,1,40,41
206,09/01/2011,1,0,1,20,0,0,1,0,1,0.14,0.1212,0.46,0.2537,16.998,0.056,0,38,38
207,09/01/2011,1,0,1,21,0,0,1,0,1,0.14,0.1061,0.46,0.4179,27.999,0.018,1,19,20
208,09/01/2011,1,0,1,22,0,0,1,0,1,0.14,0.1212,0.46,0.2985,19.999,0.047,5,10,15
209,09/01/2011,1,0,1,23,0,0,1,0,1,0.12,0.1364,0.5,0.194,12.998,0.062,0,6,6
210,10/01/2011,1,0,1,0,0,1,0,1,1,0.12,0.1212,0.5,0.2836,19.001,0.04,2,3,5
211,10/01/2011,1,0,1,1,0,1,0,1,1,0.12,0.1212,0.5,0.2836,19.001,0.04,1,0,1
212,10/01/2011,1,0,1,2,0,1,0,1,1,0.12,0.1212,0.5,0.2239,15.001,0.052,0,3,3
213,10/01/2011,1,0,1,3,0,1,0,1,1,0.12,0.1212,0.5,0.2239,15.001,0.052,0,1,1
214,10/01/2011,1,0,1,4,0,1,0,1,1,0.1,0.1212,0.54,0.1343,8.998,0.059,1,2,3
215,10/01/2011,1,0,1,5,0,1,0,1,1,0.1,0.1061,0.54,0.2537,16.998,0.031,0,3,3
216,10/01/2011,1,0,1,6,0,1,0,1,1,0.12,0.1212,0.5,0.2836,19.001,0.04,0,31,31
217,10/01/2011,1,0,1,7,0,1,0,1,1,0.12,0.1212,0.5,0.2239,15.001,0.052,2,75,77
218,10/01/2011,1,0,1,8,0,1,0,1,2,0.12,0.1212,0.5,0.2836,19.001,0.04,4,184,188
219,10/01/2011,1,0,1,9,0,1,0,1,2,0.14,0.1212,0.5,0.2537,16.998,0.056,2,92,94
220,10/01/2011,1,0,1,10,0,1,0,1,2,0.14,0.1212,0.5,0.2985,19.999,0.047,0,31,31
221,10/01/2011,1,0,1,11,0,1,0,1,2,0.16,0.1364,0.47,0.2836,19.001,0.064,2,28,30
222,10/01/2011,1,0,1,12,0,1,0,1,2,0.2,0.1818,0.4,0.2836,19.001,0.098,5,47,52
223,10/01/2011,1,0,1,13,0,1,0,1,2,0.2,0.1818,0.4,0.2836,19.001,0.098,4,50,54
224,10/01/2011,1,0,1,14,0,1,0,1,2,0.2,0.197,0.4,0.2239,15.001,0.114,0,47,47
225,10/01/2011,1,0,1,15,0,1,0,1,2,0.2,0.197,0.4,0.2239,15.001,0.114,2,43,45
226,10/01/2011,1,0,1,16,0,1,0,1,1,0.2,0.2121,0.4,0.1343,8.998,0.137,4,70,74
227,10/01/2011,1,0,1,17,0,1,0,1,1,0.2,0.2273,0.4,0.1045,7.002,0.147,4,174,178
228,10/01/2011,1,0,1,18,0,1,0,1,1,0.2,0.197,0.4,0.2239,15.001,0.114,1,154,155
229,10/01/2011,1,0,1,19,0,1,0,1,1,0.16,0.1667,0.47,0.1642,11.001,0.097,3,92,95
230,10/01/2011,1,0,1,20,0,1,0,1,1,0.16,0.1667,0.5,0.1642,11.001,0.097,1,73,74
231,10/01/2011,1,0,1,21,0,1,0,1,1,0.14,0.1364,0.59,0.194,12.998,0.072,1,37,38
232,10/01/2011,1,0,1,22,0,1,0,1,1,0.14,0.1515,0.59,0.1642,11.001,0.083,2,22,24
233,10/01/2011,1,0,1,23,0,1,0,1,1,0.14,0.1515,0.59,0.1642,11.001,0.083,0,18,18
234,11/01/2011,1,0,1,0,0,2,0,1,1,0.14,0.1667,0.59,0.1045,7.002,0.099,2,10,12
235,11/01/2011,1,0,1,1,0,2,0,1,1,0.14,0.1515,0.59,0.1642,11.001,0.083,0,3,3
236,11/01/2011,1,0,1,2,0,2,0,1,2,0.16,0.1515,0.55,0.194,12.998,0.087,0,3,3
237,11/01/2011,1,0,1,5,0,2,0,1,2,0.16,0.1818,0.55,0.1343,8.998,0.108,0,6,6
